id,name,bodyPart,target,equipment,secondaryMuscles,category,difficulty,instruction_count,gifUrl,source
0367,dumbbell over bench one arm wrist curl,lower arms,forearms,dumbbell,biceps; shoulders,lower arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0367-KI1DjNN.gif,github
0368,dumbbell over bench revers wrist curl,lower arms,forearms,dumbbell,biceps; brachialis,lower arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0368-3tAXPQ6.gif,github
0369,dumbbell over bench wrist curl,lower arms,forearms,dumbbell,biceps; brachialis,lower arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0369-D1xYJAU.gif,github
1623,dumbbell palms in incline bench press,upper arms,triceps,dumbbell,chest; shoulders,upper arms,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1623-8eqjhOl.gif,github
0370,dumbbell peacher hammer curl,upper arms,biceps,dumbbell,forearms,upper arms,,8,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0370-F1KxjBa.gif,github
0371,dumbbell plyo squat,upper legs,glutes,dumbbell,quadriceps; hamstrings; calves,upper legs,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0371-S4pwGlc.gif,github
0372,dumbbell preacher curl,upper arms,biceps,dumbbell,forearms,upper arms,,7,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0372-jivWf8n.gif,github
1673,dumbbell preacher curl over exercise ball,upper arms,biceps,dumbbell,forearms,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1673-hwygydB.gif,github
1293,dumbbell press on exercise ball,chest,pectorals,dumbbell,shoulders; triceps,chest,,6,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1293-O8o7q4d.gif,github
0373,dumbbell pronate-grip triceps extension,upper arms,triceps,dumbbell,forearms,upper arms,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0373-bpJL2Qs.gif,github
0374,dumbbell prone incline curl,upper arms,biceps,dumbbell,forearms,upper arms,,8,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0374-mwpPcr1.gif,github
1674,dumbbell prone incline hammer curl,upper arms,biceps,dumbbell,forearms,upper arms,,8,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1674-cWemPG8.gif,github
0375,dumbbell pullover,chest,pectorals,dumbbell,latissimus dorsi; triceps,chest,,5,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/0375-9XjtHvS.gif,github
1294,dumbbell pullover hip extension on exercise ball,chest,pectorals,dumbbell,triceps; shoulders; core,chest,,8,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1294-lI7easp.gif,github
1295,dumbbell pullover on exercise ball,chest,pectorals,dumbbell,triceps; latissimus dorsi,chest,,4,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1295-FSD6PGL.gif,github
1700,dumbbell push press,shoulders,delts,dumbbell,triceps; core,shoulders,,4,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/videos/1700-FS63wTN.gif,github
