"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Incline Bench Press (Smith Machine)",,"",0,"normal",50,9,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Incline Bench Press (Smith Machine)",,"",1,"normal",50,9,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Incline Bench Press (Smith Machine)",,"",2,"normal",50,8,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Incline Bench Press (Smith Machine)",,"",3,"normal",40,6,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Chest Dip",,"",0,"normal",,12,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Chest Dip",,"",1,"normal",,11,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Chest Dip",,"",2,"normal",,11,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Lat Pulldown (Machine)",,"",0,"normal",110,11,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Lat Pulldown (Machine)",,"",1,"normal",110,11,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Lat Pulldown (Machine)",,"",2,"normal",110,8,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Chest Fly (Machine)",,"",0,"normal",50,15,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Chest Fly (Machine)",,"",1,"normal",50,15,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Chest Fly (Machine)",,"",2,"normal",50,15,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",80,13,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",80,13,,,
"Chest Arm","1 Jun 2026, 17:40","1 Jun 2026, 18:11","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",80,13,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","Pike Pushup",,"",0,"normal",,12,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","Pike Pushup",,"",1,"normal",,12,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","Pike Pushup",,"",2,"normal",,10,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","Pike Pushup",,"",3,"normal",,10,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","nova shoulder back",,"",0,"normal",20,15,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","nova shoulder back",,"",1,"normal",20,15,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","nova shoulder back",,"",2,"normal",20,15,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","nova shoulder back",,"",3,"normal",20,15,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","Lateral Raise (Band)",,"",0,"normal",15,15,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","Lateral Raise (Band)",,"",1,"normal",20,15,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","Lateral Raise (Band)",,"",2,"normal",20,15,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","Lateral Raise (Band)",,"",3,"normal",20,14,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","Bench Dip",,"",0,"normal",,15,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","Bench Dip",,"",1,"normal",,15,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","Bench Dip",,"",2,"normal",,15,,,
"Shoulder / back","30 May 2026, 22:48","30 May 2026, 23:22","","Bench Dip",,"",3,"normal",,12,,,
"Chest Arm","26 May 2026, 17:42","26 May 2026, 18:16","","Incline Bench Press (Smith Machine)",,"",0,"normal",50,9,,,
"Chest Arm","26 May 2026, 17:42","26 May 2026, 18:16","","Incline Bench Press (Smith Machine)",,"",1,"normal",50,7,,,
"Chest Arm","26 May 2026, 17:42","26 May 2026, 18:16","","Incline Bench Press (Smith Machine)",,"",2,"normal",50,6,,,
"Chest Arm","26 May 2026, 17:42","26 May 2026, 18:16","","Chest Dip",,"With leg support",0,"normal",,10,,,
"Chest Arm","26 May 2026, 17:42","26 May 2026, 18:16","","Chest Dip",,"With leg support",1,"normal",,10,,,
"Chest Arm","26 May 2026, 17:42","26 May 2026, 18:16","","Chest Dip",,"With leg support",2,"normal",,10,,,
"Chest Arm","26 May 2026, 17:42","26 May 2026, 18:16","","Lat Pulldown (Machine)",,"",0,"normal",110,12,,,
"Chest Arm","26 May 2026, 17:42","26 May 2026, 18:16","","Lat Pulldown (Machine)",,"",1,"normal",110,10,,,
"Chest Arm","26 May 2026, 17:42","26 May 2026, 18:16","","Lat Pulldown (Machine)",,"",2,"normal",110,9,,,
"Chest Arm","26 May 2026, 17:42","26 May 2026, 18:16","","Chest Fly (Machine)",,"",0,"normal",50,13,,,
"Chest Arm","26 May 2026, 17:42","26 May 2026, 18:16","","Chest Fly (Machine)",,"",1,"normal",50,13,,,
"Chest Arm","26 May 2026, 17:42","26 May 2026, 18:16","","Chest Fly (Machine)",,"",2,"normal",50,12,,,
"Rest Routine","24 May 2026, 01:31","24 May 2026, 02:04","","Decline Push Up",,"",0,"normal",,11,,,
"Rest Routine","24 May 2026, 01:31","24 May 2026, 02:04","","Decline Push Up",,"",1,"normal",,9,,,
"Rest Routine","24 May 2026, 01:31","24 May 2026, 02:04","","Decline Push Up",,"",2,"normal",,7,,,
"Rest Routine","24 May 2026, 01:31","24 May 2026, 02:04","","Push Up",,"",0,"normal",,8,,,
"Rest Routine","24 May 2026, 01:31","24 May 2026, 02:04","","Push Up",,"",1,"normal",,6,,,
"Rest Routine","24 May 2026, 01:31","24 May 2026, 02:04","","Nova Uppet Chest",,"",0,"normal",,12,,,
"Rest Routine","24 May 2026, 01:31","24 May 2026, 02:04","","Nova Uppet Chest",,"",1,"normal",,12,,,
"Rest Routine","24 May 2026, 01:31","24 May 2026, 02:04","","Nova Uppet Chest",,"",2,"normal",,12,,,
"Rest Routine","24 May 2026, 01:31","24 May 2026, 02:04","","Band Decline",,"",0,"normal",2,9,,,
"Rest Routine","24 May 2026, 01:31","24 May 2026, 02:04","","Band Decline",,"",1,"normal",2,8,,,
"Rest Routine","24 May 2026, 01:31","24 May 2026, 02:04","","Band Decline",,"",2,"normal",2,10,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Incline Bench Press (Smith Machine)",,"",0,"normal",40,11,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Incline Bench Press (Smith Machine)",,"",1,"normal",40,11,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Incline Bench Press (Smith Machine)",,"",2,"normal",40,12,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Bent Over Row (Dumbbell)",,"",0,"normal",80,10,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Bent Over Row (Dumbbell)",,"",1,"normal",80,12,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Bent Over Row (Dumbbell)",,"",2,"normal",80,13,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Chest Press (Machine)",,"",0,"normal",75,8,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Chest Press (Machine)",,"",1,"normal",75,9,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Chest Press (Machine)",,"",2,"normal",75,7,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Lat Pulldown (Machine)",,"",0,"normal",110,12,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Lat Pulldown (Machine)",,"",1,"normal",110,10,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Lat Pulldown (Machine)",,"",2,"normal",110,8,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Chest Fly (Machine)",,"",0,"normal",60,10,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Chest Fly (Machine)",,"",1,"normal",50,12,,,
"Chest Arm","22 May 2026, 13:32","22 May 2026, 13:57","","Chest Fly (Machine)",,"",2,"normal",50,12,,,
"Chest Arm","18 May 2026, 08:35","18 May 2026, 08:45","","Chest Press (Machine)",,"",0,"normal",70,12,,,
"Chest Arm","18 May 2026, 08:35","18 May 2026, 08:45","","Chest Press (Machine)",,"",1,"normal",75,12,,,
"Chest Arm","18 May 2026, 08:35","18 May 2026, 08:45","","Chest Press (Machine)",,"",2,"normal",75,5,,,
"Chest Arm","18 May 2026, 08:35","18 May 2026, 08:45","","Lat Pulldown (Machine)",,"",0,"normal",110,12,,,
"Chest Arm","18 May 2026, 08:35","18 May 2026, 08:45","","Lat Pulldown (Machine)",,"",1,"normal",110,12,,,
"Chest Arm","18 May 2026, 08:35","18 May 2026, 08:45","","Lat Pulldown (Machine)",,"",2,"normal",110,10,,,
"Chest Arm","18 May 2026, 08:35","18 May 2026, 08:45","","Chest Fly (Machine)",,"",0,"normal",60,10,,,
"Chest Arm","18 May 2026, 08:35","18 May 2026, 08:45","","Chest Fly (Machine)",,"",1,"normal",60,10,,,
"Chest Arm","18 May 2026, 08:16","18 May 2026, 08:22","","Incline Bench Press (Smith Machine)",,"",0,"normal",40,12,,,
"Chest Arm","18 May 2026, 08:16","18 May 2026, 08:22","","Incline Bench Press (Smith Machine)",,"",1,"normal",40,11,,,
"Chest Arm","18 May 2026, 08:16","18 May 2026, 08:22","","Incline Bench Press (Smith Machine)",,"",2,"normal",40,8,,,
"Chest Arm","18 May 2026, 08:16","18 May 2026, 08:22","","Bent Over Row (Dumbbell)",,"",0,"normal",80,12,,,
"Chest Arm","18 May 2026, 08:16","18 May 2026, 08:22","","Bent Over Row (Dumbbell)",,"",1,"normal",80,11,,,
"Chest Arm","18 May 2026, 08:16","18 May 2026, 08:22","","Bent Over Row (Dumbbell)",,"",2,"normal",80,10,,,
"Shouldet gym","15 May 2026, 17:52","15 May 2026, 18:10","","Seated Shoulder Press (Machine)",,"",0,"normal",47.5,12,,,
"Shouldet gym","15 May 2026, 17:52","15 May 2026, 18:10","","Seated Shoulder Press (Machine)",,"",1,"normal",47.5,12,,,
"Shouldet gym","15 May 2026, 17:52","15 May 2026, 18:10","","Seated Shoulder Press (Machine)",,"",2,"normal",47.5,10,,,
"Shouldet gym","15 May 2026, 17:52","15 May 2026, 18:10","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",40,12,,,
"Shouldet gym","15 May 2026, 17:52","15 May 2026, 18:10","","Rear Delt Reverse Fly (Machine)",,"",1,"normal",40,12,,,
"Shouldet gym","15 May 2026, 17:52","15 May 2026, 18:10","","Rear Delt Reverse Fly (Machine)",,"",2,"normal",40,11,,,
"Shouldet gym","15 May 2026, 17:52","15 May 2026, 18:10","","Lateral Raise (Dumbbell)",,"",0,"normal",20,10,,,
"Shouldet gym","15 May 2026, 17:52","15 May 2026, 18:10","","Lateral Raise (Dumbbell)",,"",1,"normal",20,11,,,
"Shouldet gym","15 May 2026, 17:52","15 May 2026, 18:10","","Lateral Raise (Dumbbell)",,"",2,"normal",20,12,,,
"Shouldet gym","15 May 2026, 17:52","15 May 2026, 18:10","","Bicep Curl (Dumbbell)",,"",0,"normal",30,11,,,
"Shouldet gym","15 May 2026, 17:52","15 May 2026, 18:10","","Bicep Curl (Dumbbell)",,"",1,"normal",30,12,,,
"Shouldet gym","15 May 2026, 17:52","15 May 2026, 18:10","","Bicep Curl (Dumbbell)",,"",2,"normal",30,12,,,
"Chest Arm","14 May 2026, 08:30","14 May 2026, 08:41","","Incline Bench Press (Smith Machine)",,"",0,"normal",40,10,,,
"Chest Arm","14 May 2026, 08:30","14 May 2026, 08:41","","Incline Bench Press (Smith Machine)",,"",1,"normal",40,8,,,
"Chest Arm","14 May 2026, 08:30","14 May 2026, 08:41","","Incline Bench Press (Smith Machine)",,"",2,"normal",40,8,,,
"Chest Arm","14 May 2026, 08:30","14 May 2026, 08:41","","Bent Over Row (Dumbbell)",,"",0,"normal",80,10,,,
"Chest Arm","14 May 2026, 08:30","14 May 2026, 08:41","","Bent Over Row (Dumbbell)",,"",1,"normal",80,10,,,
"Chest Arm","14 May 2026, 08:30","14 May 2026, 08:41","","Bent Over Row (Dumbbell)",,"",2,"normal",80,9,,,
"Chest Arm","14 May 2026, 08:30","14 May 2026, 08:41","","Lat Pulldown (Machine)",,"",0,"normal",110,10,,,
"Chest Arm","14 May 2026, 08:30","14 May 2026, 08:41","","Lat Pulldown (Machine)",,"",1,"normal",100,9,,,
"Shouldet gym","12 May 2026, 08:26","12 May 2026, 08:30","","Rear Delt Reverse Fly (Dumbbell)",,"",0,"normal",20,10,,,
"Shouldet gym","12 May 2026, 08:26","12 May 2026, 08:30","","Rear Delt Reverse Fly (Dumbbell)",,"",1,"normal",20,10,,,
"Shouldet gym","12 May 2026, 08:26","12 May 2026, 08:30","","Rear Delt Reverse Fly (Dumbbell)",,"",2,"normal",20,10,,,
"Shouldet gym","12 May 2026, 08:26","12 May 2026, 08:30","","Lateral Raise (Dumbbell)",,"",0,"normal",20,8,,,
"Shouldet gym","12 May 2026, 08:21","12 May 2026, 08:25","","Seated Shoulder Press (Machine)",,"",0,"normal",50,10,,,
"Shouldet gym","12 May 2026, 08:21","12 May 2026, 08:25","","Seated Shoulder Press (Machine)",,"",1,"normal",50,9,,,
"Shouldet gym","12 May 2026, 08:21","12 May 2026, 08:25","","Seated Shoulder Press (Machine)",,"",2,"normal",50,6,,,
"Shouldet gym","12 May 2026, 08:21","12 May 2026, 08:25","","Rear Delt Reverse Fly (Machine)",,"",0,"normal",50,8,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Incline Bench Press (Smith Machine)",,"",0,"normal",40,8,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Incline Bench Press (Smith Machine)",,"",1,"normal",40,7,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Incline Bench Press (Smith Machine)",,"",2,"normal",40,6,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Incline Bench Press (Smith Machine)",,"",3,"normal",40,4,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Bent Over Row (Dumbbell)",,"",0,"normal",80,10,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Bent Over Row (Dumbbell)",,"",1,"normal",80,10,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Bent Over Row (Dumbbell)",,"",2,"normal",80,10,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Chest Press (Machine)",,"",0,"normal",70,11,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Chest Press (Machine)",,"",1,"normal",70,10,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Chest Press (Machine)",,"",2,"normal",70,9,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Lat Pulldown (Machine)",,"",0,"normal",100,10,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Lat Pulldown (Machine)",,"",1,"normal",100,10,,,
"Chest Arm","11 May 2026, 17:46","11 May 2026, 18:05","","Lat Pulldown (Machine)",,"",2,"normal",100,9,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Decline Push Up",,"",0,"normal",,9,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Decline Push Up",,"",1,"normal",,8,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Decline Push Up",,"",2,"normal",,7,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Kneeling Push Up",,"",0,"normal",,12,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Lat Pulldown (Band)",,"",0,"normal",80,10,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Lat Pulldown (Band)",,"",1,"normal",80,12,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Lat Pulldown (Band)",,"",2,"normal",80,12,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Chest Press (Band)",,"",0,"normal",80,11,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Chest Press (Band)",,"",1,"normal",80,10,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Chest Press (Band)",,"",2,"normal",80,11,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Bent Over Row (Band)",,"",0,"normal",65,10,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Bent Over Row (Band)",,"",1,"normal",65,10,,,
"Rest Routine","18 Apr 2026, 18:55","18 Apr 2026, 19:15","","Bent Over Row (Band)",,"",2,"normal",65,11,,,
"Shoulder / back","5 Apr 2026, 23:53","6 Apr 2026, 00:13","","Pike Pushup",,"",0,"normal",,10,,,
"Shoulder / back","5 Apr 2026, 23:53","6 Apr 2026, 00:13","","Pike Pushup",,"",1,"normal",,10,,,
"Shoulder / back","5 Apr 2026, 23:53","6 Apr 2026, 00:13","","Pike Pushup",,"",2,"normal",,8,,,
"Shoulder / back","5 Apr 2026, 23:53","6 Apr 2026, 00:13","","Pike Pushup",,"",3,"normal",,7,,,
"Shoulder / back","5 Apr 2026, 23:53","6 Apr 2026, 00:13","","nova shoulder back",,"",0,"normal",30,10,,,
"Shoulder / back","5 Apr 2026, 23:53","6 Apr 2026, 00:13","","nova shoulder back",,"",1,"normal",30,9,,,
"Shoulder / back","5 Apr 2026, 23:53","6 Apr 2026, 00:13","","nova shoulder back",,"",2,"normal",30,9,,,
"Shoulder / back","5 Apr 2026, 23:53","6 Apr 2026, 00:13","","nova shoulder back",,"",3,"normal",30,9,,,
"Shoulder / back","5 Apr 2026, 23:53","6 Apr 2026, 00:13","","Lateral Raise (Band)",,"",0,"normal",25,10,,,
"Shoulder / back","5 Apr 2026, 23:53","6 Apr 2026, 00:13","","Lateral Raise (Band)",,"",1,"normal",25,10,,,
"Shoulder / back","5 Apr 2026, 23:53","6 Apr 2026, 00:13","","Lateral Raise (Band)",,"",2,"normal",11,9,,,
"Chest Arm","31 Mar 2026, 08:32","31 Mar 2026, 08:55","","Incline Bench Press (Smith Machine)",,"",0,"normal",40,10,,,
